mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
16.28087615966797,0.08349401974443549,0.20313922564188638,0.005111366108172689,0.7125779372456224,0.04950891594495588,6,509,0.03131329245555858,2.1845695491899972,0.7799016533479063,"{'colsample_bytree': np.float64(0.7125779372456224), 'learning_rate': np.float64(0.04950891594495588), 'max_depth': 6, 'n_estimators': 509, 'reg_alpha': np.float64(0.03131329245555858), 'reg_lambda': np.float64(2.1845695491899972), 'subsample': np.float64(0.7799016533479063)}",-5.5658659344594525,-5.1456305844073285,-5.2636042048419664,-5.3250335745695825,0.1769738454446625,1,-1.7762643639112397,-1.8701944321214923,-1.8250292672969592,-1.8238293544432305,0.038356175266729305
13.85183342297872,0.24855288099567827,0.20669452349344888,0.035014835262377066,0.7247253370691017,0.02812792213317815,7,298,0.5912977877077271,1.0494435859801283,0.8244973703390804,"{'colsample_bytree': np.float64(0.7247253370691017), 'learning_rate': np.float64(0.02812792213317815), 'max_depth': 7, 'n_estimators': 298, 'reg_alpha': np.float64(0.5912977877077271), 'reg_lambda': np.float64(1.0494435859801283), 'subsample': np.float64(0.8244973703390804)}",-5.588589852983615,-5.118980272195484,-5.292577076328515,-5.333382400502539,0.19387641330275582,2,-2.274843868139443,-2.3857654752009987,-2.341442394715332,-2.334017246018591,0.04558691590910755
5.939993143081665,0.033064132489552533,0.06666986147562663,0.006219767865216615,0.5115312125207079,0.10970718544909393,4,387,0.3663618432936917,1.4121399684340719,0.9140703845572055,"{'colsample_bytree': np.float64(0.5115312125207079), 'learning_rate': np.float64(0.10970718544909393), 'max_depth': 4, 'n_estimators': 387, 'reg_alpha': np.float64(0.3663618432936917), 'reg_lambda': np.float64(1.4121399684340719), 'subsample': np.float64(0.9140703845572055)}",-5.60690469109222,-5.180999918291685,-5.319144882275751,-5.369016497219885,0.17741496058003073,3,-2.8144425795098766,-2.926984627114753,-2.8478084343989907,-2.8630785470078735,0.04719682456896535
15.673812866210938,0.2234235934715546,0.2695911725362142,0.023334250703165194,0.9162213204002109,0.05034443102887247,6,476,0.6174815096277165,1.7233063209765618,0.6028265220878869,"{'colsample_bytree': np.float64(0.9162213204002109), 'learning_rate': np.float64(0.05034443102887247), 'max_depth': 6, 'n_estimators': 476, 'reg_alpha': np.float64(0.6174815096277165), 'reg_lambda': np.float64(1.7233063209765618), 'subsample': np.float64(0.6028265220878869)}",-5.583489201120362,-5.209514281289785,-5.358297870904237,-5.383767117771462,0.153733149900641,4,-1.8590841594695307,-1.9383563669606143,-1.9120333672989573,-1.9031579645763674,0.03296564171217736
4.652729749679565,0.26119875192190484,0.09958116213480632,0.005603936947436564,0.5998368910791798,0.1077045432985862,3,330,0.8599404067363206,1.8606150771755594,0.7801997007878172,"{'colsample_bytree': np.float64(0.5998368910791798), 'learning_rate': np.float64(0.1077045432985862), 'max_depth': 3, 'n_estimators': 330, 'reg_alpha': np.float64(0.8599404067363206), 'reg_lambda': np.float64(1.8606150771755594), 'subsample': np.float64(0.7801997007878172)}",-5.632648951944711,-5.220260405359986,-5.368240537318053,-5.40704996487425,0.1705788323893975,5,-3.8579179964985038,-4.023865758126442,-4.003548661830169,-3.9617774721517045,0.0739066488334955
4.172125180562337,0.041792172656339215,0.08490705490112305,0.00374418257671876,0.5202167947692157,0.1450259490402996,4,241,0.4393365018657701,0.9034384046707924,0.9583054382694077,"{'colsample_bytree': np.float64(0.5202167947692157), 'learning_rate': np.float64(0.1450259490402996), 'max_depth': 4, 'n_estimators': 241, 'reg_alpha': np.float64(0.4393365018657701), 'reg_lambda': np.float64(0.9034384046707924), 'subsample': np.float64(0.9583054382694077)}",-5.707021268735612,-5.180981492008228,-5.3524960102497205,-5.413499590331187,0.2190441953304033,6,-3.0139656971424635,-3.1152639579402837,-3.0711048097009246,-3.0667781549278907,0.041467853945834215
13.029786507288614,0.18583930519062897,0.1817488670349121,0.010728187151111259,0.9143687545759647,0.07778313207178196,6,387,0.5426960831582485,0.7818484499495253,0.9208787923016158,"{'colsample_bytree': np.float64(0.9143687545759647), 'learning_rate': np.float64(0.07778313207178196), 'max_depth': 6, 'n_estimators': 387, 'reg_alpha': np.float64(0.5426960831582485), 'reg_lambda': np.float64(0.7818484499495253), 'subsample': np.float64(0.9208787923016158)}",-5.6448818662201825,-5.308079030288273,-5.350525757182212,-5.434495551230223,0.14977145323746463,7,-1.3268226005458366,-1.3709506179011028,-1.3875797186013215,-1.3617843123494202,0.025636857798907897
5.484242677688599,0.07362159216225544,0.1181348164876302,0.020428806639112625,0.5372753218398854,0.1975085179540983,3,335,0.005522117123602399,2.1309228569096685,0.8827429375390468,"{'colsample_bytree': np.float64(0.5372753218398854), 'learning_rate': np.float64(0.1975085179540983), 'max_depth': 3, 'n_estimators': 335, 'reg_alpha': np.float64(0.005522117123602399), 'reg_lambda': np.float64(2.1309228569096685), 'subsample': np.float64(0.8827429375390468)}",-5.687376206237848,-5.29849519177341,-5.415755210727323,-5.467208869579527,0.16287565831983966,8,-3.3365081744428786,-3.5120840480079267,-3.492410099142599,-3.447000773864468,0.07854182308890707
15.432751019795736,0.0518827038113446,0.1898063818613688,0.0053211809970806385,0.7376851115910559,0.11702235867551289,6,421,0.1393314544058757,1.7088347585556345,0.8159364365206693,"{'colsample_bytree': np.float64(0.7376851115910559), 'learning_rate': np.float64(0.11702235867551289), 'max_depth': 6, 'n_estimators': 421, 'reg_alpha': np.float64(0.1393314544058757), 'reg_lambda': np.float64(1.7088347585556345), 'subsample': np.float64(0.8159364365206693)}",-5.722516342911783,-5.298402741681433,-5.4250933139924475,-5.4820041328618885,0.1777586709848248,9,-0.8382505271916548,-0.8658363805492861,-0.8519138227651892,-0.8520002435020434,0.011262043265618764
11.521307309468588,0.10577788308284441,0.13557910919189453,0.0037959940438607857,0.8416317594127292,0.12589936497869797,5,405,0.3910606075732408,0.8644721755761247,0.902144564127061,"{'colsample_bytree': np.float64(0.8416317594127292), 'learning_rate': np.float64(0.12589936497869797), 'max_depth': 5, 'n_estimators': 405, 'reg_alpha': np.float64(0.3910606075732408), 'reg_lambda': np.float64(0.8644721755761247), 'subsample': np.float64(0.902144564127061)}",-5.663612616774271,-5.362718047818742,-5.4418059909325605,-5.489378885175191,0.12736239792209436,10,-1.49341461547699,-1.5274305423046115,-1.5243401161337629,-1.515061757971788,0.015358749235575495
