mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
18.805044492085774,1.567508077730173,6.780645688374837,0.2840116600351193,,0.5,3,8,269,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 269}",-5.751790441484163,-5.293077242394291,-5.496468631982495,-5.51377877195365,0.18766846736409373,1,-3.2413454548299163,-3.4720946046170136,-3.404860525071032,-3.372766861505987,0.09689786706505903
19.335259199142456,0.2859117826119389,4.04615839322408,0.21438674282297895,20,0.5,3,4,187,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 187}",-5.762711563516167,-5.278220177981885,-5.501895049892585,-5.514275597130212,0.19798642062299698,2,-3.051788256681645,-3.272145378044246,-3.219958500425532,-3.181297378383808,0.0940224335001914
29.780479431152344,0.26223379328404567,5.63865598042806,0.07436284343137262,30,0.8,4,8,363,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 363}",-5.762421748000792,-5.272405133548335,-5.542660899482201,-5.525829260343776,0.20040217674620622,3,-3.331235222419324,-3.58133949878022,-3.5152306791319496,-3.4759351334438313,0.10581790080667558
33.32680130004883,0.6205828491171205,6.03691562016805,0.3269388155859266,30,0.8,4,9,370,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 370}",-5.7677756226317145,-5.274080154093727,-5.538736822665422,-5.526864199796954,0.20172509890784282,4,-3.411962631266648,-3.653388212353889,-3.59833226293871,-3.554561035519749,0.10330704417140794
24.67984477678935,0.06368598572441075,0.8836387793223063,0.18836939284061682,,0.8,3,7,408,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 408}",-5.753350458260583,-5.28170562643246,-5.555155353435793,-5.5300704793762785,0.19336347470929924,5,-3.082549074980376,-3.332269126053781,-3.2695152406027863,-3.228111147212314,0.10606837476879774
41.49718689918518,0.7160721482164703,3.605637470881144,0.6036575462902273,30,0.8,2,7,489,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 489}",-5.7544995840357185,-5.2997693212101975,-5.558323530908392,-5.537530812051436,0.1862241585660324,6,-2.8913310201418465,-3.1326862469536807,-3.0778699057294854,-3.033962390941671,0.10330856295093063
23.035760243733723,0.10685629419966623,1.622730016708374,0.0853909790111134,20,0.8,5,8,206,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 206}",-5.802193116788635,-5.269395309834679,-5.5494075339413405,-5.540331986854885,0.21760844030800675,7,-3.6166983255729632,-3.8606654537287723,-3.7972696067956453,-3.758211128699127,0.10335751363934281
12.24241534868876,1.3418714412358896,5.674604892730713,0.23271958534787848,20,0.5,1,5,149,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 149}",-5.774107385634785,-5.369869859090347,-5.518836773941341,-5.554271339555491,0.1669205415697122,8,-2.430049173884959,-2.5715966632482523,-2.5403245570556874,-2.5139901313962993,0.06071270826535026
45.35375475883484,2.0866637362705576,1.9638148148854573,0.13486192885146836,30,0.8,1,4,406,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 406}",-5.759035336083974,-5.329403624462261,-5.584126226041791,-5.557521728862675,0.17640238350688636,9,-2.2454003698478178,-2.3878884055242833,-2.349856252625027,-2.327715009332376,0.060240551506122515
12.730189561843872,0.719915037856726,1.35121488571167,0.14509559411195116,10,0.8,4,7,393,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 393}",-5.810894463870464,-5.314672310373425,-5.594155268050022,-5.573240680764637,0.20312093503837944,10,-3.8095241425121054,-4.072382184139384,-3.974442632100163,-3.9521163195838844,0.1084663870667251
