mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
8.825880527496338,0.7121851472198569,0.665191650390625,0.08989216314602747,0.388677289689482,0.061556316037040225,12,379,40,34,"{'l2_regularization': np.float64(0.388677289689482), 'learning_rate': np.float64(0.061556316037040225), 'max_depth': 12, 'max_iter': 379, 'max_leaf_nodes': 40, 'min_samples_leaf': 34}",-5.110801038672766,-4.9444347877162995,-4.937105823189706,-4.997447216526257,0.08020908168312274,1,-4.293535223894987,-4.222745308972001,-4.405826887293382,-4.307369140053456,0.07538014330653976
14.352452039718628,1.7555325260677213,1.519360621770223,0.63360276542732,0.6174815096277165,0.12621410049277337,12,335,39,36,"{'l2_regularization': np.float64(0.6174815096277165), 'learning_rate': np.float64(0.12621410049277337), 'max_depth': 12, 'max_iter': 335, 'max_leaf_nodes': 39, 'min_samples_leaf': 36}",-5.109151667729451,-4.958206317964093,-4.947024672468308,-5.004794219387284,0.07393292035065492,2,-4.037329970700327,-4.196442295522831,-4.389239891893453,-4.207670719372204,0.14388584893390072
7.188987096150716,1.0908003783191784,0.7623831431070963,0.0707839093301128,0.8948273504276488,0.12360099597410618,8,289,54,30,"{'l2_regularization': np.float64(0.8948273504276488), 'learning_rate': np.float64(0.12360099597410618), 'max_depth': 8, 'max_iter': 289, 'max_leaf_nodes': 54, 'min_samples_leaf': 30}",-5.119626319601433,-4.97117625602928,-4.949702854587858,-5.013501810072857,0.07555168378611958,3,-4.03537173712487,-4.163232388183284,-4.280421409365534,-4.159675178224563,0.10007272613232178
11.336224555969238,2.0457883343459766,1.1520482699076335,0.23887466005997737,0.015966252220214194,0.05386982686820831,8,363,61,44,"{'l2_regularization': np.float64(0.015966252220214194), 'learning_rate': np.float64(0.05386982686820831), 'max_depth': 8, 'max_iter': 363, 'max_leaf_nodes': 61, 'min_samples_leaf': 44}",-5.113734053187242,-4.986013183704613,-4.95029145545438,-5.016679564115411,0.07016024921108063,4,-4.240833139122688,-4.444779410662187,-4.427178240859683,-4.3709302635481855,0.092272771832366
14.96740690867106,3.787039639826377,1.8949955304463704,0.5622023583688883,0.6118528947223795,0.036503833523887946,8,287,30,24,"{'l2_regularization': np.float64(0.6118528947223795), 'learning_rate': np.float64(0.036503833523887946), 'max_depth': 8, 'max_iter': 287, 'max_leaf_nodes': 30, 'min_samples_leaf': 24}",-5.195057344962318,-5.047578524875592,-5.019465820418058,-5.087367230085323,0.07700844832287095,5,-4.681593515177603,-4.723524679939269,-4.7116883388429756,-4.7056021779866155,0.017650999217128392
6.419825633366902,2.4700897823708696,0.6758577028910319,0.11253829196546535,0.45606998421703593,0.1591834326646726,5,154,17,46,"{'l2_regularization': np.float64(0.45606998421703593), 'learning_rate': np.float64(0.1591834326646726), 'max_depth': 5, 'max_iter': 154, 'max_leaf_nodes': 17, 'min_samples_leaf': 46}",-5.215722690617182,-5.047429223116673,-5.034099419413166,-5.0990837777156734,0.08265550160688122,6,-4.704372415516822,-4.74332548823253,-4.753858642128006,-4.7338521819591195,0.02128425560307819
2.49571164449056,0.6832800052357565,0.5055874188741049,0.2065479182575739,0.3745401188473625,0.19063571821788408,5,171,35,48,"{'l2_regularization': np.float64(0.3745401188473625), 'learning_rate': np.float64(0.19063571821788408), 'max_depth': 5, 'max_iter': 171, 'max_leaf_nodes': 35, 'min_samples_leaf': 48}",-5.201729062671048,-5.044653640272653,-5.053303004625584,-5.099895235856429,0.0720939160110381,7,-4.534418373413762,-4.558919058775555,-4.744572720241787,-4.612636717477034,0.0938275102336018
3.2108779748280845,0.7879438417336583,0.3808261553446452,0.05128160635153878,0.18485445552552704,0.19422107927526613,3,143,48,19,"{'l2_regularization': np.float64(0.18485445552552704), 'learning_rate': np.float64(0.19422107927526613), 'max_depth': 3, 'max_iter': 143, 'max_leaf_nodes': 48, 'min_samples_leaf': 19}",-5.373408854678562,-5.232886817323338,-5.21782951766009,-5.274708396553996,0.07006195303104508,8,-5.025906310473878,-5.094713672049709,-5.087878630948334,-5.069499537823973,0.030951107140264878
4.888371388117473,0.9505901313335401,0.3734748363494873,0.048304859520382326,0.9093204020787821,0.05916819650400321,8,101,20,13,"{'l2_regularization': np.float64(0.9093204020787821), 'learning_rate': np.float64(0.05916819650400321), 'max_depth': 8, 'max_iter': 101, 'max_leaf_nodes': 20, 'min_samples_leaf': 13}",-5.37510788912064,-5.238027562878577,-5.231299836424864,-5.281478429474693,0.06626297287325651,9,-5.063960174191121,-5.1340786614923895,-5.1374778000104575,-5.111838878564655,0.03388378456855656
6.621987342834473,4.27320042962437,0.9753228823343912,0.5379352710316994,0.44583275285359114,0.028995234005420548,5,187,50,49,"{'l2_regularization': np.float64(0.44583275285359114), 'learning_rate': np.float64(0.028995234005420548), 'max_depth': 5, 'max_iter': 187, 'max_leaf_nodes': 50, 'min_samples_leaf': 49}",-5.438147936589999,-5.303064734251843,-5.283722326328958,-5.341644999056935,0.06869325488695828,10,-5.1153560874342,-5.188903501243982,-5.185560047980018,-5.1632732122194005,0.03391000644541781
