mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
19.514485836029053,0.14062769775745995,3.6704607804616294,0.3111971105533079,,0.5,3,8,269,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 269}",-5.751790441484162,-5.29307724239429,-5.496468631982495,-5.513778771953649,0.18766846736409373,1,-3.2413454548299163,-3.4720946046170136,-3.404860525071032,-3.372766861505987,0.09689786706505903
14.439635038375854,0.15117979077844926,3.208460887273153,0.02214374148001476,20,0.5,3,4,187,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 187}",-5.762711563516167,-5.278220177981885,-5.501895049892585,-5.514275597130212,0.19798642062299698,2,-3.0517882566816446,-3.272145378044246,-3.2199585004255327,-3.181297378383808,0.09402243350019167
39.456239461898804,1.115127919085109,6.034420013427734,1.2316630543682836,30,0.8,4,8,363,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 363}",-5.762421748000792,-5.272405133548335,-5.542660899482201,-5.525829260343776,0.20040217674620622,3,-3.3312352224193233,-3.58133949878022,-3.5152306791319496,-3.4759351334438313,0.10581790080667579
27.59081021944682,0.18798949116257407,4.917790810267131,1.0308481813981434,30,0.8,4,9,370,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 370}",-5.7677756226317145,-5.274080154093727,-5.538736822665422,-5.526864199796954,0.20172509890784282,4,-3.411962631266648,-3.6533882123538888,-3.5983322629387096,-3.5545610355197486,0.10330704417140775
17.84920843442281,0.08317533577983383,2.0436440308888755,0.12784174632728101,,0.8,3,7,408,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 408}",-5.753350458260583,-5.28170562643246,-5.555155353435793,-5.5300704793762785,0.19336347470929924,5,-3.082549074980376,-3.332269126053781,-3.2695152406027863,-3.228111147212314,0.10606837476879774
43.52376921971639,0.2304979910017754,3.5075904528299966,0.10290278166213054,30,0.8,2,7,489,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 489}",-5.7544995840357185,-5.2997693212101975,-5.558323530908392,-5.537530812051436,0.1862241585660324,6,-2.8913310201418465,-3.1326862469536807,-3.0778699057294854,-3.033962390941671,0.10330856295093063
16.92832112312317,0.2553032574970194,3.101750135421753,0.033929048697207455,20,0.8,5,8,206,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 206}",-5.802193116788636,-5.269395309834679,-5.5494075339413405,-5.540331986854885,0.2176084403080071,7,-3.6166983255729632,-3.8606654537287723,-3.797269606795645,-3.758211128699127,0.10335751363934274
16.158159097035725,4.437751897531097,3.5719236532847085,1.7232877895970609,20,0.5,1,5,149,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 149}",-5.774107385634784,-5.369869859090347,-5.518836773941341,-5.554271339555491,0.1669205415697118,8,-2.430049173884959,-2.571596663248252,-2.5403245570556874,-2.5139901313962993,0.06071270826535012
35.24280993143717,0.47040699410011566,4.919716914494832,0.11415134569002466,30,0.8,1,4,406,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 406}",-5.759035336083974,-5.329403624462261,-5.584126226041791,-5.557521728862675,0.17640238350688636,9,-2.2454003698478178,-2.3878884055242833,-2.349856252625027,-2.327715009332376,0.060240551506122515
15.37919290860494,1.7936271834520736,4.15768297513326,3.152850928775826,10,0.8,4,7,393,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 393}",-5.810894463870464,-5.314672310373425,-5.594155268050022,-5.573240680764637,0.20312093503837944,10,-3.8095241425121054,-4.072382184139384,-3.974442632100163,-3.9521163195838844,0.1084663870667251
13.5253955523173,2.322489487409542,5.984046618143718,0.24558470541634791,10,0.8,4,6,260,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 260}",-5.8137284582198125,-5.323430134788717,-5.584518071893718,-5.5738922216340825,0.2003044233329873,11,-3.82064118470611,-4.071841159675794,-3.9695111949721142,-3.95399784645134,0.10313697960459435
17.154640356699627,0.34195807425713315,0.9026115735371908,0.12266168657031118,10,0.8,4,2,289,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 289}",-5.815380320889263,-5.320244631634078,-5.58679391001813,-5.5741396208471565,0.20233624814380755,12,-3.8197414648152823,-4.0750157483914125,-3.974291598031438,-3.9563496037460446,0.1049846856547165
