mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.9301161766052246,0.024229646890837356,0.01970195770263672,0.0022817569323829393,0.006116531604882809,20,0.5,17,11,"{'ccp_alpha': np.float64(0.006116531604882809), 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 17, 'min_samples_split': 11}",-5.942002039556781,-5.772836093889829,-5.750202850257474,-5.821680327901362,0.08558057276079228,1,-5.129045839606402,-5.178738019432014,-5.148738239796908,-5.1521740329451085,0.020431702325441285
0.9097217718760172,0.10347243975839064,0.023624420166015625,0.0008667408526787407,0.0017336465350777208,,0.5,18,9,"{'ccp_alpha': np.float64(0.0017336465350777208), 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 18, 'min_samples_split': 9}",-5.934692400293396,-5.755723206982796,-5.83612670408651,-5.842180770454235,0.07318916963709099,2,-4.878304336635589,-4.95082320508923,-5.024127475280353,-4.95108500566839,0.05953233488735324
1.3791430791219075,0.0738160122223984,0.023383617401123047,0.0012725688087491121,0.004458327528535912,10,,4,9,"{'ccp_alpha': np.float64(0.004458327528535912), 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 9}",-6.011998884102066,-5.860593345272321,-5.849675079564089,-5.907422436312825,0.07408093414494167,3,-5.041147941502143,-5.169502990626344,-5.16445796759504,-5.125036299907843,0.05935377309741352
1.5489635467529297,0.07296857026762948,0.022190650304158527,0.003628121916531394,0.00046665663213615427,15,,12,4,"{'ccp_alpha': np.float64(0.00046665663213615427), 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 4}",-6.007227595353166,-5.89632096582013,-5.834862497488484,-5.912803686220593,0.0713264410735375,4,-4.600907354895258,-4.676490228809669,-4.678554074962298,-4.651983886222409,0.036126388365897114
0.9285271962483724,0.0956319082669419,0.01818076769510905,0.0043737784227838965,0.006842330265121569,15,0.5,8,16,"{'ccp_alpha': np.float64(0.006842330265121569), 'max_depth': 15, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 16}",-6.006912750140605,-5.937474839812682,-5.851196982440461,-5.93186152413125,0.06369448988369339,5,-4.954091025307823,-5.000290701304097,-4.9685888912688325,-4.974323539293585,0.019291918109509143
1.8942999839782715,0.09940687376230549,0.0214539368947347,0.003700999305048457,0.003745401188473625,20,,8,8,"{'ccp_alpha': np.float64(0.003745401188473625), 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 8}",-6.068739478737902,-5.953008890572218,-5.880175548043682,-5.967307972451267,0.07764207105537323,6,-4.54084822138939,-4.614788787407662,-4.6336735187816975,-4.596436842526249,0.040056038826377344
0.3202985922495524,0.024665584720482185,0.02116258939107259,0.0031775665465654805,0.009488855372533333,15,log2,9,3,"{'ccp_alpha': np.float64(0.009488855372533333), 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 3}",-6.137035026131541,-5.938337933876337,-5.927968535049034,-6.001113831685639,0.09620398270588323,7,-5.489217959419135,-5.467096333046272,-5.447251886181326,-5.467855392882245,0.01714098314228658
0.4770510991414388,0.05938879754565879,0.04043277104695638,0.03272535612663213,0.008599404067363205,20,sqrt,7,19,"{'ccp_alpha': np.float64(0.008599404067363205), 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 19}",-6.144968021610651,-5.998622526016824,-5.939044470228068,-6.027545005951848,0.08651978439523783,8,-5.281704815395045,-5.3215816894309,-5.323857706957166,-5.309048070594371,0.019356915519034117
0.4548245271046956,0.01190454783164777,0.021719614664713543,0.0024365196875374474,0.007553614103176525,30,log2,4,19,"{'ccp_alpha': np.float64(0.007553614103176525), 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 19}",-6.237182128836341,-5.963094012809014,-5.9593727530271545,-6.053216298224171,0.13009235711142708,9,-5.1504070339014785,-5.168267794355979,-5.201766139165625,-5.173480322474361,0.021288764805598083
1.8410789171854656,0.030884942751045665,0.01967787742614746,0.0016840579279747538,0.007080725777960455,30,0.8,2,13,"{'ccp_alpha': np.float64(0.007080725777960455), 'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 13}",-6.264651267311864,-6.143895500713369,-6.069416606228486,-6.15932112475124,0.08044710738451537,10,-4.623451331331849,-4.6811189063493694,-4.67816025351734,-4.660910163732853,0.026514920331516156
0.3784291744232178,0.014442967450380224,0.02341302235921224,0.00570897501358661,0.009385527090157502,5,0.5,1,13,"{'ccp_alpha': np.float64(0.009385527090157502), 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 13}",-6.401589683609538,-6.298862638615021,-6.3128001622005945,-6.3377508281417185,0.045498082314939715,11,-6.228715280368228,-6.280868854608771,-6.3045889002124245,-6.271391011729809,0.03169199348199405
0.13694047927856445,0.03524822365257385,0.012210210164388021,0.002702131263809729,0.007751328233611146,5,log2,4,15,"{'ccp_alpha': np.float64(0.007751328233611146), 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15}",-6.736946051830479,-7.099832712923856,-7.100244183327269,-6.979007649360535,0.17116347950828603,12,-6.521196630279353,-7.116782125266301,-7.11168729614958,-6.916555350565077,0.2795685695262218
