mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
67.53412254651387,0.77271754938512,0.13449907302856445,0.030396418368651524,0.02235980266720311,6,2,515,0.8253152871382157,"{'learning_rate': np.float64(0.02235980266720311), 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 515, 'subsample': np.float64(0.8253152871382157)}",-5.534180024994939,-5.213356400674,-5.368300162438122,-5.371945529369021,0.13100105853427643,1,-2.385687214656466,-2.454542069419208,-2.4216353989723296,-2.420621561016001,0.028119016775732093
31.438544909159344,0.5900145088682082,0.10450140635172527,0.026033045825790174,0.039643541684062936,5,4,287,0.7334834444556088,"{'learning_rate': np.float64(0.039643541684062936), 'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 287, 'subsample': np.float64(0.7334834444556088)}",-5.544133536143353,-5.285725787521196,-5.350986780471443,-5.393615368045332,0.10971641778057183,2,-3.1749727765367672,-3.2843976049456334,-3.2245253718684164,-3.2279652511169394,0.04473866966440227
39.488007148106895,0.5839468574734745,0.0627900759379069,0.021662699607989014,0.06337755684060234,6,6,240,0.718509402281633,"{'learning_rate': np.float64(0.06337755684060234), 'max_depth': 6, 'min_samples_split': 6, 'n_estimators': 240, 'subsample': np.float64(0.718509402281633)}",-5.563944410442392,-5.257048424653788,-5.408326842176899,-5.409773225757693,0.12529393585322188,3,-2.2217077561636294,-2.3357558103537914,-2.314463458960794,-2.2906423418260715,0.049513122047259106
75.65676760673523,0.2536963852088801,0.17009409268697104,0.0019166101699121347,0.03714469540516875,5,7,508,0.9879639408647978,"{'learning_rate': np.float64(0.03714469540516875), 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 508, 'subsample': np.float64(0.9879639408647978)}",-5.587872843188449,-5.269752825393064,-5.37472397420657,-5.410783214262694,0.1323512700495741,4,-2.705646318760874,-2.8830730064226193,-2.7542951934109974,-2.7810048395314966,0.07485591168178313
39.477267344792686,0.5645617381001884,0.04596090316772461,0.016524147940426635,0.06576275319642724,5,4,280,0.88453678109946,"{'learning_rate': np.float64(0.06576275319642724), 'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 280, 'subsample': np.float64(0.88453678109946)}",-5.6091347955222135,-5.3622979526823435,-5.425831208539141,-5.465754652247899,0.10465026760266297,5,-2.6851184997971607,-2.7142041215848147,-2.7080042330093734,-2.7024422847971166,0.012508525083064671
47.6371324857076,0.2695756261433398,0.07726724942525227,0.003272097452690339,0.041400718421970475,3,2,543,0.7579526072702278,"{'learning_rate': np.float64(0.041400718421970475), 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 543, 'subsample': np.float64(0.7579526072702278)}",-5.632901585716227,-5.388130658133011,-5.403697190258938,-5.474909811369392,0.11189766098703124,6,-3.952826135324694,-4.036574160834939,-4.031945083646616,-4.007115126602083,0.03843460263305432
57.96078944206238,0.3852292056485906,0.16027474403381348,0.029250191020510578,0.08384868504100158,4,6,479,0.7427013306774357,"{'learning_rate': np.float64(0.08384868504100158), 'max_depth': 4, 'min_samples_split': 6, 'n_estimators': 479, 'subsample': np.float64(0.7427013306774357)}",-5.680701330538448,-5.385022242687665,-5.378302882572844,-5.481342151932985,0.14099491485102505,7,-2.56566130254378,-2.6479977823813994,-2.6475305117103867,-2.6203965322118554,0.03870412217996684
37.10500152905782,0.73028312641022,0.09164667129516602,0.013872460063400182,0.1262520499972521,4,5,387,0.7465447373174767,"{'learning_rate': np.float64(0.1262520499972521), 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 387, 'subsample': np.float64(0.7465447373174767)}",-5.677876889562981,-5.340214998139829,-5.464357300899006,-5.494149729533938,0.13945030138091202,8,-2.347671059347151,-2.424169660436086,-2.3613867984085237,-2.37774250606392,0.03330306163926071
39.589229583740234,0.08607870106509746,0.06151596705118815,0.01612299499903508,0.09665329700123683,5,5,254,0.9932923543227152,"{'learning_rate': np.float64(0.09665329700123683), 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 254, 'subsample': np.float64(0.9932923543227152)}",-5.682372402234542,-5.331941649834829,-5.495558273952498,-5.503290775340623,0.1431672023431465,9,-2.3872342615817472,-2.528981431973529,-2.4238190468833167,-2.4466782468128643,0.06008312211474736
46.580563386281334,0.4690810963564254,0.08980313936869304,0.024015969900326773,0.08116262258099886,7,4,271,0.8394633936788146,"{'learning_rate': np.float64(0.08116262258099886), 'max_depth': 7, 'min_samples_split': 4, 'n_estimators': 271, 'subsample': np.float64(0.8394633936788146)}",-5.638437903371814,-5.398260327105221,-5.514985102798509,-5.517227777758515,0.09806490785378165,10,-1.1604078446924238,-1.163104923182896,-1.1495663287000089,-1.1576930321917762,0.005850985120944447
